Date,SPY,VXF,EWC,EFA,VWO,AGG,EMB,DBC,INTL_BOND
2008-01-31,-0.06046135446638379,-0.06685722154122231,-0.05728511733750463,-0.07847121129351065,-0.09022083900515032,0.023129716259026267,0.009471494336886765,0.02915071053858531,0.02409369316486054
2008-02-29,-0.025842501430439868,-0.018548799217798617,0.057133405040929786,-0.010229401207734967,0.028770138325714623,-0.0016001415845072753,-0.004065701562068091,0.11145314614335344,0.012880116753509974
2008-03-31,-0.008942310932505193,-0.011687117476309794,-0.053108418942928615,0.004189982687427651,-0.03677506633668348,0.0012959025762642185,0.0009313929725314196,-0.009141115977909009,-0.010333884284304928
2008-04-30,0.047662237723380185,0.055076208045961916,0.07093359593963466,0.054380870456004926,0.08433424209176366,0.0032771176586292583,0.011616797431831749,0.06038573899673261,-0.00662860628374462
2008-05-31,0.015116656097519332,0.04911377872228151,0.07855821304542054,0.011871895920087416,0.01785081631833907,-0.012652229489727773,0.0010449650732864413,0.0690746329001839,-0.009305871914360275
2008-06-30,-0.08357617938962802,-0.0741622399982903,-0.04953238429856055,-0.08786837631825162,-0.09809188108314737,-0.0018497482051615943,-0.019811377795628582,0.10431563888574602,-0.010441454960315344
2008-07-31,-0.008985528816241484,-0.004512718711047525,-0.05458367873655068,-0.03320212393918831,-0.047222601623881255,0.003939270349072821,0.007879508142985214,-0.09781152204137578,0.009900974127728057
2008-08-31,0.015453562007284871,0.020605780028840615,-0.03094129557885017,-0.04247633727103861,-0.07916573281641537,0.007419710778790334,0.00715272244866183,-0.06534664428133052,0.005563571136333545
2008-09-30,-0.09417335849431985,-0.1122548307224902,-0.13298197529610967,-0.11436200269506003,-0.15586949446203224,-0.01759790818662521,-0.07145043667955675,-0.10248931626006474,-0.04214911027659629
2008-10-31,-0.1651864017444271,-0.21605660268295634,-0.2718297743970711,-0.20834798393594056,-0.27264860266719504,-0.02281013322212755,-0.19393691749806874,-0.2508114853981315,-0.023422229713730536
