Ticker,Label,Ann. Return,Ann. Vol,Sharpe,Observations,Start,End
VXF,US Mid + Small Cap,0.12097841907502274,0.18926205785893174,0.639211157500967,269,2003-10-31,2026-05-31
SPY,US Large Cap (S&P 500),0.11880789790387478,0.14679675921725474,0.8093359726561994,269,2003-10-31,2026-05-31
EWC,Canadian Equities,0.11181600067212623,0.19513121687389762,0.573029792277607,269,2003-10-31,2026-05-31
VWO,EM Equities (spliced: VEIEX→VWO),0.11081148547964084,0.20122936556584553,0.5506725381161206,269,2003-10-31,2026-05-31
EFA,Intl Developed Equities (ex-US),0.08710622607219196,0.16644831371666122,0.5233229711204503,269,2003-10-31,2026-05-31
EMB,EM Bonds (spliced: PYEMX→EMB),0.06381423738146375,0.10786248070903026,0.5916259014439783,269,2003-10-31,2026-05-31
DBC,Broad Commodities (spliced: PCRIX→DBC),0.06027214653846179,0.18383907350106068,0.32785275399091934,269,2003-10-31,2026-05-31
INTL_BOND,Intl Bonds ex-US (spliced: PFORX→BNDX),0.04283854019902852,0.04004880885472996,1.0696582850795344,269,2003-10-31,2026-05-31
AGG,US Aggregate Bonds,0.03282203183070259,0.04412424289179301,0.7438548444036284,269,2003-10-31,2026-05-31
