Month,HEADLINE_CPI_USA,INFLATION_ACCEL,DIV_YIELD_USA,EXCESS_DIV_YIELD,SPREAD_10Y2Y_USA,SPREAD_10Y3M_USA,SPREAD_BAA_AAA_USA,IRSTCI_USA,LOG_VIX,PMI_CHANGE
2004-04-30,2.1,0.6000000000000001,1.61,-2.6599999999999993,2.2790476190476188,3.2699999999999996,0.7280952380952379,1.0,2.8443278504626814,1.0399999999999991
2004-05-31,3.1,1.0,1.67,-2.8499999999999996,2.1864999999999997,3.5199999999999996,0.7094999999999998,1.0,2.740840023925201,-0.7199999999999989
2004-06-30,3.4,0.2999999999999998,1.64,-2.660000000000001,1.9666666666666672,3.2700000000000005,0.7690476190476188,1.03,2.663052845812192,-0.10000000000000142
2004-07-31,3.0,-0.3999999999999999,1.7,-2.4899999999999993,1.8614285714285717,2.9299999999999997,0.7995238095238093,1.26,2.729159144392355,-0.19999999999999574
2004-08-31,2.6,-0.3999999999999999,1.74,-2.29,1.771818181818182,2.6000000000000005,0.8149999999999997,1.43,2.727199017446074,-1.240000000000002
2004-09-30,2.4,-0.20000000000000018,1.71,-2.17,1.6047619047619044,2.2699999999999996,0.8095238095238095,1.61,2.5907670519258503,0.259999999999998
2004-10-31,3.4,1.0,1.72,-2.0999999999999996,1.5154999999999998,2.0599999999999996,0.7369999999999997,1.76,2.78932294936639,0.5
2004-11-30,3.9,0.5,1.66,-2.200000000000001,1.3380000000000003,1.9300000000000008,0.6875,1.93,2.583242533221714,-0.3399999999999963
2004-12-31,3.5,-0.3999999999999999,1.62,-2.3200000000000003,1.2181818181818185,1.7800000000000002,0.6840909090909091,2.16,2.5870118698548024,1.1599999999999966
2005-01-31,3.1,-0.3999999999999999,1.67,-2.2199999999999998,0.9974999999999996,1.61,0.6600000000000001,2.28,2.551006427687861,-1.3599999999999994
2005-02-28,3.0,-0.10000000000000009,1.66,-2.24,0.7852631578947364,1.4,0.6163157894736839,2.5,2.4915511861909447,0.8599999999999994
2005-03-31,3.2,0.20000000000000018,1.69,-2.47,0.7731818181818184,1.5299999999999998,0.6590909090909091,2.63,2.640484914257205,-1.1799999999999997
2005-04-30,3.8,0.5999999999999996,1.76,-2.2800000000000002,0.6861904761904758,1.25,0.7219047619047616,2.79,2.7285062370776063,-2.519999999999996
2005-05-31,3.0,-0.7999999999999998,1.76,-2.1599999999999993,0.4961904761904758,0.9199999999999996,0.8538095238095238,3.0,2.5870118698548024,-0.5200000000000031
