ticker,longName,category,totalAssets,trailingPE,trailingEps,yield,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,navPrice,ytdReturn
SPY,State Street SPDR S&P 500 ETF Trust,Large Blend,735060819968,27.569422,,0.010299999,,749.53,575.6,738.3713,5.68005
IVV,iShares Core S&P 500 ETF,Large Blend,797465706496,27.549414,,0.0112,,753.02,578.31,741.8194,5.69286
VOO,Vanguard S&P 500 ETF,Large Blend,1600156336128,27.593185,,0.0108,,689.1,529.11,678.83,5.69215
QQQ,Invesco QQQ Trust,Large Growth,440257380352,34.1621,,0.0042,,722.03,505.58,705.57,8.85925
IJH,iShares Core S&P Mid-Cap ETF,Mid-Cap Blend,115693895680,21.101887,,0.012200001,,75.15,58.84,72.12514,10.54374
IWM,iShares Russell 2000 ETF,Small Blend,76877807616,18.770638,,0.0091,,287.58,199.65,275.8333,13.16127
IJR,iShares Core S&P Small-Cap ETF,Small Blend,102561284096,17.748158,,0.0116,,139.49,102.57,134.39261,14.2989
VXF,Vanguard Extended Market Index Fund ETF Shares,Mid-Cap Blend,89864634368,20.286951,,0.0107,,233.48,178.03,223.95,8.55687
