Date,EEM,EFA,EWC,IEMG,VEA,VGK,VWO
2010-01-04,30.35150718688965,35.128440856933594,19.20944595336914,,21.538454055786133,28.544633865356445,27.252147674560547
2010-01-05,30.57180404663086,35.159393310546875,19.316482543945312,,21.550716400146484,28.498924255371094,27.342126846313477
2010-01-06,30.63574981689453,35.308013916015625,19.466333389282227,,21.556861877441406,28.67033576965332,27.50924301147461
2010-01-07,30.458110809326172,35.17177963256836,19.402109146118164,,21.513919830322266,28.487503051757812,27.271434783935547
2010-01-08,30.69972801208496,35.45043182373047,19.502010345458984,,21.746967315673828,28.7731876373291,27.438549041748047
2010-01-11,30.63574981689453,35.74146270751953,19.444921493530273,,21.88189697265625,29.00171661376953,27.47710609436035
2010-01-12,30.145421981811523,35.320396423339844,19.1024112701416,,21.630451202392578,28.578920364379883,27.07861328125
2010-01-13,30.237802505493164,35.61762237548828,19.295074462890625,,21.832828521728516,28.96743392944336,27.187875747680664
2010-01-14,30.159629821777344,35.89008712768555,19.352161407470703,,21.955482482910156,28.910293579101562,27.12360191345215
2010-01-15,29.811416625976562,35.32658767700195,19.06672477722168,,21.599781036376953,28.30466651916504,26.802234649658203
2010-01-19,30.415464401245117,35.6733512878418,19.088136672973633,,21.83896255493164,28.89314842224121,27.26500129699707
2010-01-20,29.683504104614258,34.76309585571289,18.652856826782227,,21.280874252319336,27.996152877807617,26.596555709838867
2010-01-21,28.788097381591797,34.0200309753418,18.267526626586914,,20.839319229125977,27.12769317626953,25.82526397705078
2010-01-22,28.148521423339844,33.35746383666992,17.89646339416504,,20.373220443725586,26.539201736450195,25.24679946899414
2010-01-25,28.3546085357666,33.76615524291992,17.946420669555664,,20.67372703552246,27.02485466003418,25.491046905517578
2010-01-26,27.764768600463867,33.57419204711914,17.88932991027832,,20.563335418701172,26.813446044921875,25.002567291259766
2010-01-27,27.693716049194336,33.53704071044922,17.80370330810547,,20.52040672302246,26.92201042175293,24.93185806274414
2010-01-28,27.50183868408203,32.97355651855469,17.618173599243164,,20.1830997467041,26.26494789123535,24.83544158935547
2010-01-29,27.203365325927734,32.49674987792969,17.43977928161621,,19.833528518676758,25.962129592895508,24.578357696533203
2010-02-01,27.935331344604492,33.09119415283203,17.768022537231445,,20.213769912719727,26.613473892211914,25.285367965698242
2010-02-02,28.162729263305664,33.64229965209961,17.98209571838379,,20.60626983642578,27.02485466003418,25.407485961914062
2010-02-03,27.99928855895996,33.28935241699219,17.903602600097656,,20.293489456176758,26.687747955322266,25.3367862701416
2010-02-04,26.734336853027344,31.933258056640625,17.361278533935547,,19.502357482910156,25.379362106323242,24.17985725402832
2010-02-05,26.435871124267578,31.877531051635742,17.48972511291504,,19.330642700195312,25.14510726928711,24.134851455688477
2010-02-08,26.172937393188477,31.24591064453125,17.304197311401367,,19.15892219543457,24.779441833496094,23.68494987487793
