Date,EEM,EFA,EWC,IEMG,VEA,VGK,VWO
2012-11-30,0.015553135682105035,0.027808817376105077,-0.013338196324732432,0.015964969209623536,0.027084634534538354,0.024750592869306365,0.012774486699106413
2012-12-31,0.06803587881475459,0.043811424079167605,0.023802741765962532,0.06782662418401397,0.04244120405372742,0.04305813654186541,0.07067030597351098
2013-01-31,-0.0029312182204009885,0.03728453954813826,0.016549367039659257,-0.002298927498031955,0.03831974716947739,0.042793057821294944,0.0006744021630904484
2013-02-28,-0.022840039113355415,-0.012885401217466508,-0.022514877797466526,-0.015360746147890292,-0.011481534092123935,-0.033968223299295386,-0.02356391743150632
2013-03-31,-0.010182733406653655,0.013053602118091145,0.010276471482376648,-0.010140361333899839,0.011920692836541402,0.0033996020121609405,-0.012664806216475921
2013-04-30,0.012157529231149544,0.05018683160000559,-0.017186915380051793,0.013987453384801674,0.05215476130238361,0.04539009417239992,0.020046699867998896
2013-05-31,-0.04827856118926399,-0.030190329886930378,-0.010350001123671237,-0.04371504283747496,-0.029741568037709665,0.00019468172113756843,-0.05073133825694898
2013-06-30,-0.05325788630909667,-0.026779584649286647,-0.045950200897183935,-0.05553000402843522,-0.02795172100052723,-0.04452474694299913,-0.05354833582386698
2013-07-31,0.013246639985430075,0.05322864402401617,0.05659661496930046,0.010421225775797849,0.05196650258421065,0.07625166685419305,0.006960620035360465
2013-08-31,-0.025378208571196437,-0.019552723341692668,-0.008685950978451262,-0.024925317071944786,-0.01602132891112995,-0.014671347396889023,-0.03430631494918712
2013-09-30,0.072067574753927,0.07824930094157034,0.03358876685176293,0.07205859164706552,0.07850453824661163,0.07175543259882278,0.07275020805810506
2013-10-31,0.04170717882294439,0.03260168638909455,0.037089507288702306,0.040904433789496375,0.03208706116711135,0.04183457294999604,0.04335931788781333
2013-11-30,-0.002590381919745033,0.005464582761292691,-0.009196225923898571,-0.0057266881287700855,0.006609508798051111,0.010215347507510186,-0.009314955346827691
2013-12-31,-0.004066217388811966,0.0217614038209748,0.01623136314727658,-0.0012886049335310013,0.01898145130981499,0.029398640373329066,-0.002845508853179024
2014-01-31,-0.08636347981548897,-0.05201195459714192,-0.04218092049550959,-0.07990354831477942,-0.05206309415210775,-0.045748020146623825,-0.08434601125226682
2014-02-28,0.033778567643582225,0.06131115032979273,0.044754680661793556,0.03382057745429057,0.059478573512084854,0.07342727868228227,0.03238631631825051
2014-03-31,0.03875363256555264,-0.004591807597235209,0.012679956458149455,0.035880155979221895,-0.003534041571462976,-0.0062891923253566295,0.046273623826312615
2014-04-30,0.007803178336654115,0.01666657321228482,0.033502585151427455,0.009780188498363263,0.0157496871340832,0.026462882346421246,0.008871252716117217
