Date,IJH,IJR,IVV,IWM,QQQ,SPY,VOO,VXF
2010-01-04,11.633413314819336,22.294368743896484,84.8846664428711,51.36656188964844,40.29079055786133,84.79637145996094,,35.653587341308594
2010-01-05,11.668170928955078,22.22675895690918,85.1311264038086,51.189937591552734,40.29079055786133,85.0208511352539,,35.78342819213867
2010-01-06,11.729795455932617,22.202919006347656,85.19835662841797,51.141754150390625,40.047752380371094,85.08069610595703,,35.9051399230957
2010-01-07,11.788253784179688,22.357980728149414,85.57179260253906,51.519100189208984,40.07381057739258,85.43986511230469,,36.08365249633789
2010-01-08,11.862510681152344,22.445466995239258,85.86308288574219,51.800086975097656,40.403621673583984,85.72421264648438,,36.2702751159668
2010-01-11,11.840392112731934,22.36594009399414,85.98260498046875,51.59135437011719,40.238704681396484,85.84388732910156,,36.21348190307617
2010-01-12,11.691872596740723,22.155202865600586,85.19087982177734,51.02937698364258,39.73529052734375,85.04329681396484,,35.76720428466797
2010-01-13,11.8388090133667,22.413652420043945,85.86308288574219,51.687705993652344,40.23003005981445,85.7615737915039,,36.21348190307617
2010-01-14,11.873568534851074,22.501121520996094,86.1170425415039,51.880401611328125,40.264732360839844,85.9935302734375,,36.262176513671875
2010-01-15,11.715574264526367,22.21087074279785,85.14610290527344,51.125709533691406,39.79604721069336,85.02831268310547,,35.8564567565918
2010-01-19,11.85618782043457,22.600528717041016,86.19920349121094,52.06504440307617,40.43833923339844,86.09076690673828,,36.310855865478516
2010-01-20,11.770872116088867,22.278459548950195,85.34774017333984,51.31036376953125,39.856807708740234,85.21539306640625,,35.98628616333008
2010-01-21,11.622349739074707,22.02001190185547,83.67469024658203,50.467369079589844,39.48358154296875,83.57678985595703,,35.4750862121582
2010-01-22,11.374295234680176,21.58661460876465,81.86719512939453,49.56015396118164,38.32917785644531,81.71368408203125,,34.67178726196289
2010-01-25,11.393256187438965,21.614442825317383,82.27803039550781,49.616329193115234,38.45941162109375,82.13272094726562,,34.801612854003906
2010-01-26,11.355337142944336,21.44744300842285,81.88963317871094,49.12660217285156,38.494102478027344,81.78851318359375,,34.60686111450195
2010-01-27,11.371136665344238,21.670114517211914,82.30790710449219,49.6484489440918,38.79789733886719,82.17759704589844,,34.75293731689453
2010-01-28,11.225775718688965,21.280441284179688,81.32197570800781,48.79743194580078,37.799747467041016,81.23481750488281,,34.25796890258789
2010-01-29,11.070940017700195,21.073680877685547,80.4107666015625,48.259525299072266,37.14007568359375,80.35191345214844,,33.779232025146484
2010-02-01,11.235258102416992,21.276466369628906,81.68048095703125,48.829559326171875,37.548038482666016,81.6014404296875,,34.274208068847656
2010-02-02,11.399578094482422,21.467321395874023,82.70375061035156,49.36746597290039,37.88654327392578,82.58910369873047,,34.720481872558594
2010-02-03,11.35059642791748,21.300323486328125,82.28549194335938,49.03827667236328,38.094844818115234,82.17759704589844,,34.460838317871094
2010-02-04,10.980878829956055,20.656185150146484,79.76844024658203,47.400474548339844,36.992523193359375,79.6410903930664,,33.292388916015625
2010-02-05,11.007737159729004,20.695945739746094,79.94021606445312,47.585147857666016,37.30498504638672,79.80571746826172,,33.3410758972168
2010-02-08,10.919259071350098,20.46931266784668,79.32030487060547,47.1114501953125,37.03592300415039,79.22959899902344,,33.14633560180664
2010-02-09,11.048815727233887,20.75559425354004,80.35102081298828,47.76173782348633,37.41783142089844,80.22472381591797,,33.543922424316406
2010-02-10,11.051980018615723,20.835111618041992,80.164306640625,47.87416076660156,37.33972930908203,80.06757354736328,,33.57638168334961
2010-02-11,11.20050048828125,21.12139892578125,80.98587799072266,48.6368522644043,37.903892517089844,80.90560150146484,,34.13625717163086
2010-02-12,11.27159595489502,21.276466369628906,80.95600128173828,48.990116119384766,37.98200607299805,80.83824157714844,,34.37968826293945
2010-02-16,11.480154037475586,21.618425369262695,82.23319244384766,49.81705856323242,38.46807098388672,82.11024475097656,,34.97201156616211
2010-02-17,11.557578086853027,21.741680145263672,82.59915161132812,50.15425491333008,38.68505859375,82.49932861328125,,35.23167037963867
2010-02-18,11.64289665222168,21.968318939208984,83.12200164794922,50.5637092590332,38.92808151245117,82.98565673828125,,35.42641067504883
2010-02-19,11.669754028320312,22.023983001708984,83.29377746582031,50.6279411315918,38.91073226928711,83.15774536132812,,35.57246780395508
2010-02-22,11.68081283569336,22.095558166503906,83.30127716064453,50.78047561645508,38.83261489868164,83.17273712158203,,35.57246780395508
2010-02-23,11.511751174926758,21.853010177612305,82.255615234375,50.18635940551758,38.32917785644531,82.16263580322266,,35.077491760253906
2010-02-24,11.630249977111816,22.06375503540039,83.00995635986328,50.611881256103516,38.71977996826172,82.91834259033203,,35.36149597167969
2010-02-25,11.65869140625,22.023983001708984,82.94277954101562,50.6279411315918,38.711097717285156,82.80608367919922,,35.43451690673828
2010-02-26,11.64763355255127,21.94049072265625,82.94277954101562,50.419193267822266,38.84998321533203,82.85848236083984,,35.43451690673828
2010-03-01,11.85303020477295,22.42558479309082,83.81658172607422,51.59135437011719,39.414146423339844,83.71892547607422,,36.07554626464844
2010-03-02,11.936768531799316,22.608478546142578,84.03323364257812,51.98474884033203,39.5356559753418,83.95085144042969,,36.36766052246094
2010-03-03,11.990490913391113,22.715845108032227,84.16018676757812,52.28182601928711,39.57906723022461,84.02571105957031,,36.448787689208984
2010-03-04,11.995229721069336,22.75560188293457,84.39170837402344,52.418304443359375,39.7092399597168,84.28009796142578,,36.52994155883789
