Ticker,Description,Start,Overlap (mo),Correlation,R²,Beta,Tracking Err (ann),Mean Diff (ann),Vol Ratio
PFORX,"PIMCO Intl Bond USD-Hedged (mutual fund, active)",2007-02-28,156,0.9300027041186891,0.864905029668074,0.8305916951998108,0.014954406201215537,0.010725351568469859,0.8931067528313432
IGOV,iShares Intl Treasury (unhedged),2009-02-28,156,0.7018366866813909,0.4925747347719128,1.503152717602471,0.0650347472060471,-0.02805120295385887,2.1417414423148413
BWX,SPDR Intl Treasury (unhedged) — current baseline,2007-11-30,156,0.6909069630980987,0.47735243165743757,1.442915158000971,0.06369781690643248,-0.029081833270230506,2.0884362657611524
PFUIX,"PIMCO Foreign Bond USD-Hedged (mutual fund, active)",2007-02-28,156,0.640283806833263,0.4099633532928953,1.3049768491568114,0.06456989550439514,-0.012743144387852888,2.038122525089319
PICB,Invesco Intl Corporate (unhedged),2010-07-31,156,0.6288014413893317,0.39539125269330117,1.4964974189518712,0.07756506691275632,-0.012260529244090688,2.3799204652670207
WIP,SPDR Intl Inflation-Linked Treasury (unhedged),2008-04-30,156,0.5786788504896128,0.3348692120039796,1.412423613569045,0.08229626762498495,-0.008939978506887684,2.4407728265410285
IBND,SPDR Intl Corporate (unhedged),2010-06-30,156,0.5622773223941433,0.31615578727872734,1.287645617479648,0.0775442628665677,-0.016917225599198622,2.2900543311918224
