Date,AGG,BNDX,DBC,EFA,EMB,EWC,PCRIX,PFORX,PYEMX,SPY,VEIEX,VWO,VXF
2002-01-31,,,,19.159448623657227,,6.815174102783203,,3.086719274520874,2.4362435340881348,72.58222961425781,4.732287406921387,,21.98381996154785
2002-02-28,,,,19.38956642150879,,6.879467010498047,,3.0935003757476807,2.519441604614258,71.28034973144531,4.858699798583984,,21.400653839111328
2002-03-31,,,,20.471965789794922,,7.110926151275635,,3.083491325378418,2.4895756244659424,73.65190887451172,5.078550338745117,,22.75768280029297
2002-04-30,,,,20.783905029296875,,7.162361145019531,,3.1164603233337402,2.5258424282073975,69.36861419677734,5.095040321350098,,22.533954620361328
2002-05-31,,,,20.894704818725586,,7.271664142608643,,3.117380142211914,2.5151760578155518,68.95703887939453,5.073054790496826,,22.13418960571289
2002-06-30,,,,20.207761764526367,,6.828031539916992,,3.15478777885437,2.3679795265197754,63.86748123168945,4.65533971786499,,20.667131423950195
2002-07-31,,,,18.281585693359375,,5.953632354736328,5.085115909576416,3.1656241416931152,2.299711227416992,58.83348083496094,4.259607791900635,,18.4738826751709
2002-08-31,,,,18.102611541748047,,6.236527919769287,5.459599494934082,3.188802480697632,2.3743767738342285,59.23359298706055,4.320066928863525,,18.660932540893555
2002-09-30,,,,16.22757339477539,,5.529293537139893,5.807123184204102,3.218383312225342,2.3487770557403564,53.02287292480469,3.8583784103393555,,17.344257354736328
2002-10-31,,,,16.84974479675293,,5.850762367248535,5.643195152282715,3.2178540229797363,2.414910316467285,57.38572692871094,4.111208915710449,,17.989755630493164
2002-11-30,,,,17.795787811279297,,6.191520690917969,5.6531267166137695,3.2476162910461426,2.4575769901275635,60.92536926269531,4.375030040740967,,19.20008087158203
2002-12-31,,,,17.19991111755371,,6.088527679443359,5.742547512054443,3.3092525005340576,2.51737904548645,57.47883605957031,4.259095668792725,,18.390357971191406
2003-01-31,,,,16.459871292114258,,6.346518516540527,6.1945977210998535,3.3490052223205566,2.541231632232666,56.06514358520508,4.264676094055176,,17.919570922851562
